"","x","group","mean","lower","upper","N"
"1","<1990","<=5",63.948400072627,63.5731273973924,64.3236727478616,5068
"2","<1990",">5",61.2733064433815,60.4329894098901,62.113623476873,998
"3","1990-1995","<=5",63.5441716285208,63.1714217509157,63.9169215061258,5292
"4","1990-1995",">5",58.7344490306657,57.8168358330445,59.6520622282868,980
"5","1995-2000","<=5",60.8147204419123,60.4539917191982,61.1754491646263,7991
"6","1995-2000",">5",54.0412617406573,53.1347912250091,54.9477322563054,1887
"7","2000-2005","<=5",58.3604309723298,58.0963658687172,58.6244960759424,19687
"8","2000-2005",">5",51.9197777102519,51.2883363287074,52.5512190917964,4609
"9","2005-2010","<=5",55.4773472189491,55.2559575901468,55.6987368477515,33717
"10","2005-2010",">5",48.5037384756538,47.9723213136483,49.0351556376593,7018
"11","2010-2018","<=5",52.2782858765078,52.1166063936656,52.4399653593499,71974
"12","2010-2018",">5",45.0836028250962,44.742296484387,45.4249091658054,17399
