"","study_year","freq"
"1",1966,3
"2",1969,1
"3",1970,2
"4",1971,2
"5",1972,1
"6",1973,1
"7",1974,7
"8",1975,79
"9",1976,112
"10",1977,127
"11",1978,119
"12",1979,164
"13",1980,202
"14",1981,199
"15",1982,311
"16",1983,434
"17",1984,433
"18",1985,597
"19",1986,686
"20",1987,793
"21",1988,835
"22",1989,958
"23",1990,1078
"24",1991,1187
"25",1992,1241
"26",1993,1314
"27",1994,1452
"28",1995,1153
"29",1996,993
"30",1997,1729
"31",1998,2143
"32",1999,3860
"33",2000,3507
"34",2001,4233
"35",2002,4662
"36",2003,5286
"37",2004,6608
"38",2005,7398
"39",2006,7548
"40",2007,8333
"41",2008,8436
"42",2009,9020
"43",2010,9363
"44",2011,10244
"45",2012,11439
"46",2013,12002
"47",2014,12954
"48",2015,12817
"49",2016,12214
"50",2017,8340
